product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
Cashmere shrunken crewneck sweater,J.Crew US,https://product-images-cdn.liketoknow.it/KnjnJ35xV5ldZpe2hUOIv89EMYao3fjdwsWJ.DtD77BYXhN8iPSAUt6SDKD1MA.lMznQkATOalZ4GEw8zChm8nuB4y_G9LtZrLPc_OcMyGcx9MAZlkUU?v=2,,Shop  for the Cashmere shrunken crewneck sweater for women. Find the best selection of women womens-categories-clothing-sweaters-pullovers available in-stores and on line.,118.00,USD,https://www.jcrew.com/m/womens/categories/clothing/sweaters/pullovers/cashmere-shrunken-crewneck-sweater/MP583?display=all&fit=Classic&color_name=bold-red&colorProductCode=BG654,494,227.84300000000,13,34,35288,0.026315,0.068825
Lives Shirt,Sezane Paris,https://product-images-cdn.liketoknow.it/Ye60ENIc22vFmrLPdnaHdp2n3216ifye0Oauc59v_898P6t2lAqNR8TtAWxQwLE0.eCI9ujW4sI9hD7fIkW11T_pAF83mZPWUj3SBhaVFTpC4BwJVnFHKZE1GNLebCQnulZwy4ypfsrD7iE1tTvNl9LfbV.5e_0.inMOyDWAiXl0o8ifhZU.ibdyr21bo5CBlpvNDaIseZNts_SWfQXESXL72IQ-?v=2,,Lives Shirt - Cream - Silk - Sézane,140.00,USD,https://www.sezane.com/us/product/lives-shirt/cream#size-2,356,221.14400000000,5,5,3400,0.014044,0.014044
V-Neck Cashmere Cardigan,Nordstrom,https://product-images-cdn.liketoknow.it/swTD7DxT_yVEdeeRMmSzQuw3AW3G8w49UxNIUcAwEfcT5wNSK5_77fNvkrwyIAle7VJaH.IvZd1VcAFlhUel2wimEC.6iIwUTT7dnn8aKY_URh1xqYe0oo6Q2NSbqVSyfoJMos5JyCSVieqdK76r_tO9HRli9po19fULjiO0_Dc-?v=2,,"Free shipping and returns on Nordstrom Signature V-Neck Cashmere Cardigan at Nordstrom.com. <p>Layer on a dash of '80s-inspired style with this chunky shaker-stitch cardigan knit from plush, pure cashmere in a roomy silhouette.</p>",209.25,USD,https://www.nordstrom.com/s/nordstrom-signature-v-neck-cashmere-cardigan/5862926?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=236,238,202.68850000000,26,48,78525,0.109243,0.201680
New Balance 530 Athletic Shoe - Turtledove / Gold Metallic / Magnet,Journeys,https://product-images-cdn.liketoknow.it/vZUVpetLH_nRlsZQD1M.nm4yOHdy94mAFipiVxc3MMcdCD2lfMe4UeGE91u55J7ic2HIqYCrcqhMiQOqtvMIFCRB41o8hLENVCtFx.3JYmEDIzfaQunYaGGxNSU-?v=2,,Find retro New Balance 530 Athletic Shoes in Tan/Gold at Journeys! FAST shipping and 365-day returns. Shop Now!,99.99,USD,https://www.journeys.com/product/new-balance-530-athletic-shoe-turtledove-gold-metallic-magnet-401957?utm_source=google&utm_medium=pla&gad_source=1&gclid=CjwKCAiA9dGqBhAqEiwAmRpTC4nBX_uV9-xOA6bQqS1mrEBx9gMfuKUKpR5PW0gv5h6vf5jwg_VZdRoCpUkQAvD_BwE&gclsrc=aw.ds,832,201.60000000000,24,25,5022,0.028846,0.030048
Vintage French Terry Zip Up Hoodie,James Perse (US),https://product-images-cdn.liketoknow.it/GURyAf1pNEKvM2GFHPOj.8lyfZgw3mhrVO2wLB2m7ypF6wm8FGfjpDBzDe2NLJMo0RTaYR0knkO4PGsVbO8Hq3Hi4chWvLc95je76IzD.AzgfX5cp_LeUbGKRQdvomPGHQ5Bb_32NJM-?v=2,,"Our Vintage French Terry Zip Up Hoodie is made in a lightweight supima cotton terry. Style details include a hood with drawcord, zip front closure and full length sleeves with cuffs in self fabric. Relaxed fit. Garment dyed with extra softeners for a soft, lived in feel.Additional Information:• 100% Cotton• This garmen",225.00,USD,https://www.jamesperse.com/collections/mens-new-arrivals/products/vintage-french-terry-zip-up-hoodie-carbon-pigment?variant=39683252191396,1,196.87500000000,1,4,149,1.000000,4.000000
Collection Carrie V-neck camisole in sequin,J.Crew US,https://product-images-cdn.liketoknow.it/GaJMojYlBIUT9f.lE_G1grhGkmJ7WrcttCCO2LuMbiiDmEl7b5uW.WlhOFlDeHUt.YzcPpK.WfFaN95DRcx9cpftyU1_GaQi3b5ZG4hZvzKzpHW4Yr8D?v=2,,Shop  for the Collection Carrie V-neck camisole in sequin for women. Find the best selection of women womens-categories-clothing-matching-sets available in-stores and on line.,128.00,USD,https://www.jcrew.com/p/womens/categories/clothing/matching-sets/collection-carrie-v-neck-camisole-in-sequin/BV837?display=all&fit=Classic&color_name=classic-cardinal&colorProductCode=BV837,642,154.19600000000,20,36,58231,0.031152,0.056074
KHAITE Dallas Crystal Embellished Boots Size 37.5,eBay US,https://product-images-cdn.liketoknow.it/IYDZfxVvJiXWF0zl5eRwjnGnf5GJdAULKpPX_0o4gWc04cAoigukQnBpuMvaWSqmzHcYJzt.tc7TTzmBLqe6sL3jyfSrW4FyTs1GgKHH6E04dFMWZCMD?v=2,,"<p>Elevate your shoe collection with these stunning KHAITE Dallas Crystal Embellished Boots in black. Crafted with high-quality leather, these ankle boots are perfect for women who love to make a statement. The low heel height provides comfort while the crystal embellishments add a touch of glamor to any outfit. </p><br /><p>These boots are labeled as size 37.5 for EU shoe size and 7.5 for US shoe size, making them a perfect fit for those who like ankle-style boots. With a brand like Khaite, you can rest assured that you are getting a stylish and high-quality product. Add these ankle boots to your collection today and make a chic statement wherever you go.</p><br /><p>Never worn</p><br /><p>Khaite box included</p>",1100.00,USD,https://www.ebay.com/itm/126188885543?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=126188885543&targetid=1528987485816&device=c&mktype=pla&googleloc=9033325&poi=&campaignid=19851828444&mkgroupid=145880009174&rlsatarget=pla-1528987485816&abcId=9307249&merchantid=6296724&gclid=CjwKCAiAmZGrBhAnEiwAo9qHia8-zsoG24CJsFXN-phWVwKAfEWwDYOUBh6nw1CSVHEw_ikgCeYFJRoCmtwQAvD_BwE,2,154.00000000000,1,1,81,0.500000,0.500000
Women's Double Strap Shearling Slide,James Perse (US),https://product-images-cdn.liketoknow.it/xIroLHlbbaqkgBTJoTNAlTFO6SZQhe8yTENiF2dSu37_igq8HQTOhSf9JXQkl8TavpbyvPZO75Ohl6lffKTB6tSQ4fScQ8L936Qt8eXSSKR2DPEdiH7p1C77RyU6C5ny33h7ie28XFYFS5M-?v=2,,"Our Shearling Slide features velcro double straps with faux shearling lining throughout for a casual luxe look. It is set on a supportive foot bed that is wrapped in the same cozy and luxurious fabric and has a flexible rubber outsole. Additional Information:• Material: 85% Polyester, 15% Wool",350.00,USD,https://www.jamesperse.com/collections/womens-all-footwear/products/double-strap-shearling-slide-taupe-swlsh8356?variant=44545808498852,25,150.50000000000,1,2,149,0.040000,0.080000
SHAY JACKET - BLACK,Rails,https://product-images-cdn.liketoknow.it/ufWEjj2FHu7_jb2ZoKtCksvR1QBSMO2B2atW8w1FMSmcCjaAiNdXediZiEIrbPcQs9RcBgdkfyvm0OS00Ac9Zc96NxoihZEhCWuIeCT_8335wiIwnfrT.i1N_WEgj3LPP6xy4rE9z7s-?v=2,,"DETAILSA true outerwear staple, the Shay is functional, comfortable, and seriously chic. Made from quilted nylon with a sherpa collar, this jacket will keep you warm and put together no matter where the season takes you. Zip it up and pair with slacks or drape it over a dress.100% Nylon.Imported.CAREDry clean only. FIT",348.00,USD,https://www.rails.com/products/shay-jacket-black?variant=43077347868841,137,146.16000000000,3,3,246,0.021897,0.021897
AGOLDE Dame High Rise Wide Leg Jeans | Shopbop,Shopbop,https://product-images-cdn.liketoknow.it/kv3ZkUUeEuVutLnfi8qfBKmyWpFDzWmx_CZc6e_qXOoU4qkYUQC2SlMrnaFcy1qV9qUz0dM_Ri6ml5ZUQ9AtdzLJD17lvSZbCLikLwR5SXHNZE0jm3fIyOds6cl_G0vIIPKde03Ywqqeb8_Ycv9yVYBsgaU1hxrl31bJT0qeCIkM0zlK65LAFwOLDU_z3g6sHxJtzv3ch9amKYvFGmUYKsDjwPC4YiYArXfnvUgbODQA?v=2,,AGOLDE Dame High Rise Wide Leg Jeans | Shopbop,258.00,USD,https://www.shopbop.com/product/vp/v=1/1538633322.htm?currencyCode=USD&extid=SE_Google_campaign%3DNB_Category_Clothing_Jeans_PMAX_WMN_Dom_US_EN_GGL_PLA_adgroup%3Devergreen-jeans&gclid=EAIaIQobChMImruou823ggMVUCOtBh1tNgG_EAQYAiABEgJTp_D_BwE,449,145.73370000000,7,12,23121,0.015590,0.026726
7/8 High-Waist Airlift Legging - Black,Alo Yoga,https://product-images-cdn.liketoknow.it/1BiW8GfJE_ZTYwG31Q8ETe56rSDGwi89obwjpDG21BPLC3WVheqxe3fkEGoeakJf2Hbl1BS2.lUN0V.wHXXMEpV6zKNy4ClK5RCxboJE2MbCE7HOIGg9VqyLGM4D944_7qW9xkt.vwNMvZ5KTkLXjPZytvJguowZIQ--?v=2,W5766R010,"Wondering why these leggings are a fan favorite? Maybe it’s the sculpting, subtly sheeny, high-compression Airlift fabric. Or the fact that they fit like a glove, complete with a wide, double-layered waistband for a holds-you-in feel. Or the ⅞ length hems that are perfect for petites or an above-the-ankle fit. Pick you",128.00,USD,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-black,420,145.04000000000,10,19,4080,0.023809,0.045238
Slinky Ribbed Trouser Socks,J.Crew US,https://product-images-cdn.liketoknow.it/NfZJxRSRiIwCwlgj4WvhczJPm2sq2DXKduG.tU56BjrcYkJgkfgBpupy0I167r7GnJQNJQtGsJHGL6gw9Xak.2u2yk9v0mKKteEdiEbP4TOBkRvyaS37lEoDZ.Z5cazJ48iZ7iCmkh026ZB5ww1ZROMng.YHSyjGqTbE_7p2x5CFfkObUaz8NV.6D1pZOfUqtDto77i.lgC3?v=2,NN446,"Slinky and ribbed, these trouser socks are the BFF to any loafer or ankle boot.",12.50,USD,https://www.madewell.com/slinky-ribbed-trouser-socks-99107246262.html?source=googlePLA&noPopUp=true&srcCode=Paid_Search%7CShopping_NonBrand_PMax_NCA%7CGoogle%7CMWGGBS00002_99107246262_19572748248___c_pla_online__9033325&utm_source=google&utm_medium=cpc&utm_campaign=Madewell_Shopping_PLA_US_Women_Accessories_PMax&utm_term=&utm_content=shopping_ads&gad_source=1&gclid=CjwKCAiAmZGrBhAnEiwAo9qHicE3goKGxgja3PAVyvmahHR4C_KgwVCfERC_O99Ora-SWtFb-HWDNxoCIOAQAvD_BwE&gclsrc=aw.ds,267,137.61300000000,18,38,20423,0.067415,0.142322
Cadence The Bestsellers Bundle | goop,goop,https://product-images-cdn.liketoknow.it/AysWtKR4X6QfkuAALxs7QEWp2vgGxoSoHtD3Y5KdQ2yGz2Grbcjfi1j17B73n32Nk7TUhqwagWTm.EC83N_bPesdKiSsSkgum83mXP9gEvJzW8.c73GFTSG9L0YkHm13Coh8uCit0JByT41YjAs5JonQXvxy2idnn4bD7k9vvAjInyHYxH7R7XnQlrNYoVYJTZFiuPWGcBVPekI5CUMxbpbzCnT5QpdvJoVyEVlzBpq_55eNcisBem5mnb7iZMyJRuGBwQQ.2TSOJ68bVcrl81w4dgQlcGD7kuKjJ3wXzNLdRCce9q8rgE85_OlN.e1A_0c-?v=2,CADE-The-Bestsellers-Beige,"Shop the Cadence The Bestsellers Bundle at goop.com. Discover product details, pricing, sizing, styling suggestions and more.",132.00,USD,https://goop.com/cadence-capsules-bestsellers-bundle/p/?variant_id=126404&gclid=Cj0KCQjw4vKpBhCZARIsAOKHoWT3043viohQxPwjYfEWM10verBU9ityi20MrNWeCMRGcSV5ZKIRmTQaAoQOEALw_wcB,34,136.52800000000,3,12,99,0.088235,0.352941
A clear glass top proudly displays your watch collection in this high-lacquer ash-wood watch wind...,Nordstrom,https://product-images-cdn.liketoknow.it/t9D.kGB6Mv91hDSgJs7FpKWe.JqGY.G0_uv0GuSLDDse98bQEl_jLuChEY1L6bsd5LJw6vnz6QOfmvsSEyEng7AYytNkR5jMeLxoXsLiG2RAx46TgI_nD2SNRTRb3Lkkt3.N8_.Hf34ozcP9I_QPdK3Hzera91Q6Yd8wY2kLGkzNth7rmBcHMF4iPjSqIvFRPdOY6.m7VrRVz0F9AVVrv6oN9jVzKk.r?v=2,,Free shipping and returns on Bey-Berk Louis Ash 8-Watch Winder & Case at Nordstrom.com. <p>A clear glass top proudly displays your watch collection in this high-lacquer ash-wood watch winder and case. The winder slots can hold up to eight watches to keep your collection precisely timed.</p>,1707.75,USD,https://www.nordstrom.com/s/bey-berk-louis-ash-8-watch-winder-case/6764013?origin=coordinating-6764013-0-1-PDP_1-recbot-top_hits_age_gd_pt1&recs_placement=PDP_1&recs_strategy=top_hits_age_gd_pt1&recs_source=recbot&recs_page_type=product&recs_seed=6763977&color=MULTI%20COLOR,8,132.83270000000,6,14,18846,0.750000,1.750000
Dipbrow® Gel Eyebrow Gel,Nordstrom,https://product-images-cdn.liketoknow.it/uIoQ5EJurECehGgSl7nazjEX8u1_7Qqv7fGNeXRj64LVoRaYo9ucEjBM.IxtNTYI0jjN6cMXkKxFC2NZP8prGrKItzuq1BnpcBTA_VD6a6rShx0K5KdZxTvR4.EBrUV90kH4NLtP8Ytrm2SQMINc9WMT9b1VRVbTXt2M8LYiP0MzpgWQkfilbBdrx_yA5CdpihralTgvC6LMGvFaihfs?v=2,,"Free shipping and returns on Anastasia Beverly Hills Dipbrow® Gel Eyebrow Gel at Nordstrom.com. <p><strong>What it is</strong>: A highly pigmented brow gel with a long-lasting waterproof formula to create fuller-looking, defined brows.</p><p><strong>What it does</strong>: Dipbrow Gel is a real brow filler that delivers full coverage with rich color payoff. The unique formula adheres to brow hairs, builds the appearance of fullness and dries down to a seamless matte finish. The 12 hour-wear color can be applied directly onto the brow hairs as well as the skin, then blended for a natural-looking finish that stays in place. The pinecone-shaped brush allows for versatility in application and delivers maximum color payoff.</p><p><strong>How to use</strong>: To fill brows with color, brush t...",9.00,USD,https://www.nordstrom.com/s/anastasia-beverly-hills-dipbrow-gel-eyebrow-gel/5231359?origin=coordinating-5231359-0-1-PDP_1-recbot-also_viewed_graph&recs_placement=PDP_1&recs_strategy=also_viewed_graph&recs_source=recbot&recs_page_type=product&recs_seed=2802699&color=EBONY,39,130.13420000000,3,19,9423,0.076923,0.487179
Mark and Graham,Mark and Graham,https://product-images-cdn.liketoknow.it/ZIX.syNmijHIRjK9j8siHNKvGzJuqml_ZIy.1slDV.UBpCvRterZ8Q0Qm30aCY69hWHZIQ.sEQTAWyvaFsuSnBokKGpD87ytQ.aLThHhN94iOVsVSf_gifwF0oYgfv_XpVeb_w--?v=2,,"Gear up for school days and adventures of all kinds with our best-built backpacks yet. Made of water-resistant polyester and featuring ultradurable bound stitching, plenty of compartments and a port for headphone wires, you can take your laptop, Override",89.00,USD,https://www.markandgraham.com/products/6-piece-packing-cube-set/?pkey=cgifts-for-traveling,54,128.10000000000,1,4,117,0.018518,0.074074
Harley,perfectwhitetee,https://product-images-cdn.liketoknow.it/WYK7txWE1rlTfB6FbZT987ncvN9m_uoR5PhXzqz7pc7JhJKoLS5iiXvJwuiOMM.fLv4_yyPA_CTdSf0SfKVlBPZPTLONZUK2RgzkInfg6wzWALVRB.6F28k_4CBPHAriqiFgPFGw6s_q?v=2,T68-HARLEY-W001-A13,"Discover soft, season-less, classic, slightly-oversized crew neck tee, hits just below mid-rise denim. Mindfully made in California. Buy at Perfectwhitetee.",70.00,USD,https://perfectwhitetee.com/products/harley?variant=43082163224746&tw_source=google&tw_adid=&tw_campaign=20673260638&gclid=CjwKCAjw1t2pBhAFEiwA_-A-NMoQDKt6AnWmckE993aayQXtOpCqk8Z9iE-Nll09yhP1huTlOIoQGxoCbHYQAvD_BwE,179,125.97200000000,8,8,7768,0.044692,0.044692
Rebecca Vallance Cora Mini Dress | Shopbop,Shopbop,https://product-images-cdn.liketoknow.it/L7WqFwVZMZ.Jw47fDhxT4FYI9ihwnrci6u.kR9iWs0me_wY9NtADHI3CeMq1YtmenqM0YfRLnc.RXEhh9eTL5U8vLKbKgiM_ULqIXajsKbHEl_am5qZqLWe0J_OwRzaySK8hryc655k5_ZbcgQ9nsUIiKjSvhXznyv5Zjq3m3KdkGFhv.Oq7ssG6epuNfAeAHvcJHrmVq.0v4fKmDXL2Jms4hcgUh0Y86m.BoQPYGlyw.RDXMwWn5cw8?v=2,,Rebecca Vallance Cora Mini Dress | Shopbop,545.00,USD,https://www.shopbop.com/cora-mini-rebecca-vallance/vp/v=1/1506445447.htm,62,125.91600000000,2,7,6606,0.032258,0.112903
Knit Sport Coat,Nordstrom,https://product-images-cdn.liketoknow.it/ZeeAoBMbRxHZVvgLFPJ4bdxCgwnb5Ic8U3DuGji_QKbGqVjNEVxWYlukg0tPB9.YmhJkGnfawNpU4vKHj1ZdDz5dBs.2.ma78QB7ppVb6WRZdnXiYIOC0QE59vJScmJMo5ohFfkR4.Fy0XdIPT2OrbOV0yfXn0fW1T2ZWPjVAKsoWbYQEaynCW5.6rp7MoWYKtSfJOIrGKJrZY1sh2Jr?v=2,,"Free shipping and returns on Good Man Brand Knit Sport Coat at Nordstrom.com. <p>A seasonless knit distinguishes this clean-cut, versatile sport coat crafted with enhanced stretch for movable comfort.</p>",298.00,USD,https://www.nordstrom.com/s/good-man-brand-knit-sport-coat/6671739?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=028,3,118.37035000000,1,20,3141,0.333333,6.666666
The ReNew Long Liner,Everlane,https://product-images-cdn.liketoknow.it/XOtzPJwO4K60Fq2OE_7VzWJpUv6yLkAVlN33.9hzfguMn5pABG6a307anuVQn2Ev5ge7zs1nnXu6bw1XHNMVH.hpJuBtCzXulVV.8eTWbcs9rarbu5fJ4kVu54dQ2mESO0r6ngU-?v=2,,"A modern take on a military-inspired liner. Made entirely from 100% recycled polyester, the ReNew Long Liner is lightweight, packable, and perfect for easy cold-weather layering.* Plus, it features a classic crew neckline, a zip front, handy side pockets, an easy below-the-knee length, and a quilted design. Wear it as a standalone jacket or layer it under a coat for extra warmth without the weight. 

*Some of the zippers and trim aren’t 100% recycled, but we’re working on it.

We’ve eliminated 90% of the virgin plastic from our supply chain. Learn about what we’ve done—and the challenges ahead—on our No New Plastic page.",139.00,USD,https://www.everlane.com/products/womens-renew-long-liner-kalmata,522,118.30000000000,13,14,6556,0.024904,0.026819
