Date,Brand,Type,Publisher,Product,Direct to retailer link,Status,Commission,Payment
7/28/25,"Clare V.","Sale commission","Tiffany Wendel","Bandana","https://rstyle.me/+CKCEPfSA-P7hNhSWuUypjw","Open","$10.50",""
7/28/25,"NET-A-PORTER (US)","Sale return","Tiffany Wendel","SKIMS - Oversized Sleep Set - Cadet Stripe","https://rstyle.me/+pDX0rb2AxQsFNerRbU6aow","Open","-$13.65",""
7/28/25,"NET-A-PORTER (US)","Sale commission","Tiffany Wendel","SKIMS - Oversized Sleep Set - Cadet Stripe","https://rstyle.me/+pDX0rb2AxQsFNerRbU6aow","Open","$13.65",""
7/28/25,"Target","Sale commission","Tiffany Wendel","Elden Wood Bench with Woven Back and Loose Cushion Seat (FA) - Threshold™ designed with Studio ...","https://rstyle.me/+JPCc9aMfUb5cYr2ylVq1VA","Open","$4.90",""
7/28/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$6.70",""
7/28/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$3.99",""
7/27/25,"J. Crew US","Sale commission","Tiffany Wendel","Square-toe crochet ballet flats","https://rstyle.me/+ft9Asg_HS1T0cI6pMOSINw","Open","$8.38",""
7/27/25,"Nordstrom","Sale commission","Tiffany Wendel","Madewell The Suede Shopper Tote | Nordstrom","https://rstyle.me/+Y6Pve-EyTFW_T2cFjk8c7A","Open","$7.28",""
7/27/25,"Nordstrom","Sale commission","Tiffany Wendel","Madewell The Suede Shopper Tote | Nordstrom","https://rstyle.me/+Y6Pve-EyTFW_T2cFjk8c7A","Open","$2.24",""
7/27/25,"Sezane Paris - US","Sale commission","Tiffany Wendel","Adeline Low Sandals","https://rstyle.me/+FG_A0NcV0oiqhgk893uOuw","Open","$51.19",""
7/27/25,"Anthropologie (US)","Sale commission","Tiffany Wendel","Reebok Classic Legacy AZ Sneakers","https://rstyle.me/+iDomvgq8gsH7wRm1nZvW4w","Open","$12.43",""
7/27/25,"Anthropologie (US)","Sale commission","Tiffany Wendel","Reebok Classic Legacy AZ Sneakers","https://rstyle.me/+iDomvgq8gsH7wRm1nZvW4w","Open","$4.20",""
7/27/25,"Anthropologie (US)","Sale commission","Tiffany Wendel","Reebok Classic Legacy AZ Sneakers","https://rstyle.me/+iDomvgq8gsH7wRm1nZvW4w","Open","$6.30",""
7/27/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$4.48",""
7/27/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$3.23",""
7/27/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$2.04",""
7/26/25,"POSSE (US)","Sale commission","Tiffany Wendel","ROSALIE DRESS - ROSE BUD","https://rstyle.me/+VvSPlutPfle6Shph4FRymw","Open","$58.80",""
7/26/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$1.85",""
7/26/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$9.34",""
7/25/25,"Poshmark","Sale commission","Tiffany Wendel","Khaite Olivia Medium Raffia Bag in Green","https://rstyle.me/+jjsz8Yp3iAoip-9rDD2S8Q","Open","$6.65",""
7/25/25,"","Payment transaction fee","","","","Closed","","$1.00"
7/25/25,"","Payment","","","","Closed","","$1,909.56"
7/25/25,"Revolve Clothing (Global)","Sale commission","Tiffany Wendel","Steve Madden Gracie Dress in Tawny Pink from Revolve.com","https://rstyle.me/+17vAWHXa7y3SngpsYCTQtg","Open","$75.18",""
7/25/25,"Revolve Clothing (Global)","Sale commission","Tiffany Wendel","Steve Madden Gracie Dress in Tawny Pink from Revolve.com","https://rstyle.me/+17vAWHXa7y3SngpsYCTQtg","Open","$13.55",""
7/25/25,"Revolve Clothing (Global)","Sale commission","Tiffany Wendel","Steve Madden Gracie Dress in Tawny Pink from Revolve.com","https://rstyle.me/+17vAWHXa7y3SngpsYCTQtg","Open","$31.29",""
7/25/25,"Lulus","Sale commission","Tiffany Wendel","Dreamy Admiration Light Pink Ruffled Maxi Dress","https://rstyle.me/+15y8arlycv0cYCKLsvW1_g","Open","$3.68",""
7/25/25,"Lulus","Sale commission","Tiffany Wendel","Dreamy Admiration Light Pink Ruffled Maxi Dress","https://rstyle.me/+15y8arlycv0cYCKLsvW1_g","Open","$12.39",""
7/25/25,"Mother Denim","Sale commission","Tiffany Wendel","SNACKS! The Chomp Heel Chew - Chew Toy","https://rstyle.me/+vIKIGiZcT1q-2x75N0ArzA","Open","$34.72",""
7/25/25,"Shopbop","Sale commission","Tiffany Wendel","Samantha Heeled Sandals","","Open","$20.83",""
7/25/25,"NET-A-PORTER (UK & EU)","Sale commission","Tiffany Wendel","Rosalie strapless pleated floral-print linen midi dress","https://rstyle.me/+Ro5HBY3q2zLoCgPJzeJtqw","Open","$26.00",""
7/25/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$0.31",""
7/25/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$7.56",""
7/25/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$0.32",""
7/24/25,"NET-A-PORTER (US)","Sale commission","Tiffany Wendel","Aegean gold-plated, shell and crystal earrings","https://rstyle.me/+hhZ55j86a98sAAoPKdpG1w","Open","$42.00",""
7/24/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$4.13",""
7/24/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$9.03",""
7/24/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$3.43",""
7/24/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$5.53",""
7/24/25,"NET-A-PORTER (US)","Sale commission","Tiffany Wendel","Rosalie strapless pleated floral-print linen midi dress","https://rstyle.me/+Ro5HBY3q2zLoCgPJzeJtqw","Open","$42.00",""
7/24/25,"J. Crew US","Sale commission","Tiffany Wendel","Square-toe crochet ballet flats","https://rstyle.me/+ft9Asg_HS1T0cI6pMOSINw","Open","$11.20",""
7/24/25,"Free People (Global - UK&FR Excluded)","Sale commission","Tiffany Wendel","Forever Young Bloomer Pants","https://rstyle.me/+OuS46O30-vKpXcNTSccmxw","Open","$10.29",""
7/24/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$1.39",""
7/24/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$3.71",""
7/24/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$1.55",""
7/23/25,"Target","Sale commission","Tiffany Wendel","Canvas Backpack Laundry Bag - Brightroom™: Linen Backpack Hamper, 50L Capacity, Multipurpose, B...","https://rstyle.me/+69jmTMFmI_x8ZRKdXQOxJw","Open","$3.19",""
7/23/25,"Shopbop","Sale commission","Tiffany Wendel","Bars W Sneakers","","Open","$15.12",""
7/23/25,"Macy's","Sale commission","Tiffany Wendel","SPANX Women's Thinstincts 2.0 High-Waisted Mid-Thigh Girl Shorts - Macy's","https://rstyle.me/+X9b0Z_1GHNwbd77Yxyohmg","Open","$5.46",""
7/23/25,"Macy's","Sale commission","Tiffany Wendel","SPANX Women's Thinstincts 2.0 High-Waisted Mid-Thigh Girl Shorts - Macy's","https://rstyle.me/+X9b0Z_1GHNwbd77Yxyohmg","Open","$5.46",""
7/23/25,"Free People (Global - UK&FR Excluded)","Sale return","Tiffany Wendel","Forever Young Bloomer Pants","https://rstyle.me/+OuS46O30-vKpXcNTSccmxw","Open","-$10.29",""
7/23/25,"Free People (Global - UK&FR Excluded)","Sale commission","Tiffany Wendel","Forever Young Bloomer Pants","https://rstyle.me/+OuS46O30-vKpXcNTSccmxw","Open","$10.29",""
7/23/25,"Shopbop","Sale commission","Tiffany Wendel","Raelynn Knit Top","","Open","$6.55",""
7/23/25,"Zara US","Sale commission","Tiffany Wendel","CONTRAST STRIPE PAJAMA PANTS","https://rstyle.me/+fgUxXRIwXibtDvF9PnpSpA","Open","$4.79",""
7/23/25,"J. Crew US","Sale commission","Tiffany Wendel","Gwen lace-trim slip skirt in textured satin","https://rstyle.me/+p0RMKAd5MpDDb_pazkue8A","Open","$8.38",""
7/23/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$2.80",""
7/23/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$0.70",""
7/23/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$1.85",""
7/23/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$1.68",""
7/22/25,"Williams-Sonoma","Sale commission","Tiffany Wendel","Yamazaki Home Plain Coat Rack","https://rstyle.me/+MV7dAo8-t3PgWHrW7GZzRg","Open","$6.13",""
7/22/25,"Target","Sale commission","Tiffany Wendel","Blue Ridge Tools 40pc Household Tool Kit: Screwdriver, Dorm Tool Kit, Small Hand Tools, Rubber & ...","https://rstyle.me/+WVGeY_z4-IqXVflNYQ2CPA","Open","$1.08",""
7/22/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","The Everything Brush","https://rstyle.me/+1HLoV2iEIvVFO4dXElLjLA","Open","$3.22",""
7/22/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","The Everything Brush","https://rstyle.me/+1HLoV2iEIvVFO4dXElLjLA","Open","$2.38",""
7/22/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","The Everything Brush","https://rstyle.me/+1HLoV2iEIvVFO4dXElLjLA","Open","$1.96",""
7/22/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$4.20",""
7/22/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$5.53",""
7/22/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","Andi Glass And Gold Brush Holder","https://rstyle.me/+aCur_78596tp5KcYvW_bAA","Open","$16.66",""
7/22/25,"Urban Outfitters (US and RoW)","Sale commission","Tiffany Wendel","Melody Cinched Core Duvet Cover","https://rstyle.me/+xNi_1Jsy_pDWpQCMXGe3_g","Open","$2.90",""
7/22/25,"Urban Outfitters (US and RoW)","Sale commission","Tiffany Wendel","Melody Cinched Core Duvet Cover","https://rstyle.me/+xNi_1Jsy_pDWpQCMXGe3_g","Open","$3.32",""
7/22/25,"Pottery Barn Teen","Sale commission","Tiffany Wendel","LoveShackFancy Prairie Wildflower Organic Sheet Set","https://rstyle.me/+_NPG63XA6ybrAHTIklgcDQ","Open","$8.33",""
7/22/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$1.68",""
7/22/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$25.12",""
7/22/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$0.53",""
7/22/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$2.73",""
7/21/25,"Zara US","Sale commission","Tiffany Wendel","RELAXED FIT STRIPED SHORTS LIMITED EDITION","https://rstyle.me/+VfhP0uxE2zAUpsWEJ9BV_Q","Open","$7.98",""
7/21/25,"Zara US","Sale commission","Tiffany Wendel","LIMITED EDITION PLAID SHIRT","https://rstyle.me/+vk56VjxGRNr-TOmz-cjR_g","Open","$8.00",""
7/21/25,"FWRD ","Sale commission","Tiffany Wendel","River Iconic Pump","https://rstyle.me/+3fvqQUq04f8_YHxlimsaJg","Open","$47.04",""
7/21/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","What The Foundation","https://rstyle.me/+g-71iNeRNeB3tR7i6phYEA","Open","$2.94",""
7/21/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","What The Foundation","https://rstyle.me/+g-71iNeRNeB3tR7i6phYEA","Open","$3.22",""
7/21/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","What The Foundation","https://rstyle.me/+g-71iNeRNeB3tR7i6phYEA","Open","$2.94",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop","","Open","$56.70",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop","","Open","$56.70",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop","","Open","$39.90",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop","","Open","$113.40",""
7/21/25,"Etsy (US)","Sale commission","Tiffany Wendel","Handmade Moroccan Brown Abstract Beni Ourain Rug - Custom Size Genuine Wool Berber Rug - Luxuriou...","https://rstyle.me/+ypL-2nSJ20Up8Tp0W0wWiQ","Open","$2.16",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Andrea Gomez Antonia Mesh Flats | Shopbop","","Open","$10.50",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Andrea Gomez Antonia Mesh Flats | Shopbop","","Open","$23.94",""
7/21/25,"Shopbop","Sale commission","Tiffany Wendel","Andrea Gomez Antonia Mesh Flats | Shopbop","","Open","$37.80",""
7/21/25,"FWRD ","Sale commission","Tiffany Wendel","River Iconic Pump","https://rstyle.me/+3fvqQUq04f8_YHxlimsaJg","Open","$47.04",""
7/21/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$4.07",""
7/21/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$3.98",""
7/21/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$2.55",""
7/21/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$0.84",""
7/20/25,"Varley US","Sale commission","Tiffany Wendel","Jessie Jumpsuit","https://rstyle.me/+0rLuIBiiYPjPa_fjAlD1Gw","Open","$22.89",""
7/20/25,"Varley US","Sale commission","Tiffany Wendel","Jessie Jumpsuit","https://rstyle.me/+0rLuIBiiYPjPa_fjAlD1Gw","Open","$22.89",""
7/20/25,"Zara US","Sale commission","Tiffany Wendel","LIMITED EDITION 3-PACK OF RESIN BRACELETS","https://rstyle.me/+jfLLS3BRHZNPrAIY0b_mIg","Open","$14.42",""
7/20/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$2.59",""
7/20/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$4.07",""
7/19/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","Everyday Sunscreen","https://rstyle.me/+4FIzCh9LyaWQebPg5waIDg","Open","$2.94",""
7/19/25,"Jones Road Beauty","Sale commission","Tiffany Wendel","Everyday Sunscreen","https://rstyle.me/+4FIzCh9LyaWQebPg5waIDg","Open","$2.94",""
7/19/25,"Etsy (US)","Sale commission","Tiffany Wendel","Handmade Moroccan Brown Abstract Beni Ourain Rug - Custom Size Genuine Wool Berber Rug - Luxuriou...","https://rstyle.me/+ypL-2nSJ20Up8Tp0W0wWiQ","Open","$2.73",""
7/19/25,"eBay US","Sale commission","Tiffany Wendel","adidas originals LACE SKIRT Versatile Casual Long Skirt Women's Black","https://rstyle.me/+NDRvBrcscN9-i3RyrVrw7g","Open","$7.77",""
7/19/25,"Nordstrom","Sale commission","Tiffany Wendel","Veronica Beard Alanis Kitten Heel Slide Sandal (Women) | Nordstrom","https://rstyle.me/+oGwiRU3SHtJ61mpL3oUn-A","Open","$27.93",""
7/19/25,"adidas (US)","Sale commission","Tiffany Wendel","Tokyo Shoes","https://rstyle.me/+QLcpwMQY4Jr1d5xmuv5Hvg","Open","$5.67",""
7/19/25,"COS (EU)","Sale commission","Tiffany Wendel","SHRUNKEN RINGER T-SHIRT - WHITE / BLACK | COS","https://rstyle.me/+wpSIIW123q45rjiS7HMnsg","Open","$3.44",""
7/19/25,"Shopbop","Sale commission","Tiffany Wendel","Citizens of Humanity Lindz Low Rise Easy Straight Jeans | Shopbop","","Open","$41.83",""
7/19/25,"Nordstrom","Sale commission","Tiffany Wendel","Veronica Beard Alanis Kitten Heel Slide Sandal (Women) | Nordstrom","https://rstyle.me/+oGwiRU3SHtJ61mpL3oUn-A","Open","$9.73",""
7/19/25,"Nordstrom","Sale commission","Tiffany Wendel","Jimmy Choo Heloise Platform Sandal (Women) | Nordstrom","https://rstyle.me/+Sh3SnGDUWISD9dIzRmLrYg","Open","$11.55",""
7/19/25,"Nordstrom","Sale commission","Tiffany Wendel","Jimmy Choo Heloise Platform Sandal (Women) | Nordstrom","https://rstyle.me/+Sh3SnGDUWISD9dIzRmLrYg","Open","$2.10",""
7/19/25,"Nordstrom","Sale commission","Tiffany Wendel","Jimmy Choo Heloise Platform Sandal (Women) | Nordstrom","https://rstyle.me/+Sh3SnGDUWISD9dIzRmLrYg","Open","$4.20",""
